theater,title,director,year,theater_film_link,dates,letterboxd_url,letterboxd_rating,letterboxd_viewers
Cineteca Madrid,La princesa Mononoke,Hayao Miyazaki,1997,https://www.cinetecamadrid.com/programacion/la-princesa-mononoke,['2025-03-09 12:00'],https://letterboxd.com/film/princess-mononoke/,4.4,1600000.0
Cineteca Madrid,Vértigo (De entre los muertos),Alfred Hitchcock,1958,https://www.cinetecamadrid.com/programacion/vertigo-de-entre-los-muertos-0,['2025-03-16 20:00'],https://letterboxd.com/film/vertigo/,4.2,895000.0
Cineteca Madrid,Nausicaä del Valle del Viento,Hayao Miyazaki,1984,https://www.cinetecamadrid.com/programacion/nausicaa-del-valle-del-viento-0,['2025-03-02 12:00'],https://letterboxd.com/film/nausicaa-of-the-valley-of-the-wind/,4.2,497000.0
Cineteca Madrid,El viento se levanta,Hayao Miyazaki,2013,https://www.cinetecamadrid.com/programacion/el-viento-se-levanta,['2025-03-30 12:00'],https://letterboxd.com/film/the-wind-rises/,4.1,520000.0
Cine doré,Sullivan's Travels,Preston Sturges,1941,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4846,['2025-03-23 21:00'],https://letterboxd.com/film/sullivans-travels/,4.0,53000.0
Cineteca Madrid,Las cuatro hijas,Kaouther Ben Hania,2023,https://www.cinetecamadrid.com/programacion/las-cuatro-hijas-0,['2025-03-18 20:00'],https://letterboxd.com/film/four-daughters-2023/,4.0,31000.0
Cine doré,El mago de Oz,Victor Fleming,1939,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4842,['2025-03-22 17:30'],https://letterboxd.com/film/the-wizard-of-oz-1939/,4.0,1200000.0
Cine doré,The Lady Eve,Preston Sturges,1941,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4808,"['2025-03-06 17:30', '2025-03-22 21:00']",https://letterboxd.com/film/the-lady-eve/,4.0,54000.0
Cineteca Madrid,Banda aparte,Jean-Luc Godard,1964,https://www.cinetecamadrid.com/programacion/banda-aparte-0,['2025-03-30 20:00'],https://letterboxd.com/film/band-of-outsiders/,3.9,85000.0
Cineteca Madrid,National Gallery,Frederick Wiseman,2014,https://www.cinetecamadrid.com/programacion/national-gallery-0,['2025-03-09 19:00'],https://letterboxd.com/film/national-gallery/,3.9,5100.0
Cineteca Madrid,"Papicha, sueños de libertad",Mounia Meddour,2019,https://www.cinetecamadrid.com/programacion/papicha-suenos-de-libertad,['2025-03-12 19:30'],https://letterboxd.com/film/papicha/,3.9,19000.0
Cine doré,Awaara,Raj Kapoor,1951,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4802,['2025-03-02 19:00'],https://letterboxd.com/film/awaara/,3.9,7500.0
Cine doré,Función de noche,Josefina Molina,1981,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4823,['2025-03-12 17:30'],https://letterboxd.com/film/evening-performance/,3.8,961.0
Cine doré,Mera Naam Joker,Raj Kapoor,1970,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4831,['2025-03-15 18:30'],https://letterboxd.com/film/mera-naam-joker/,3.8,2700.0
Cine doré,The Good Fairy,William Wyler,1935,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4835,['2025-03-16 21:00'],https://letterboxd.com/film/the-good-fairy/,3.8,2400.0
Cine doré,Remember the Night,Mitchell Leisen,1940,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4819,"['2025-03-09 21:00', '2025-03-28 21:00']",https://letterboxd.com/film/remember-the-night/,3.8,16000.0
Cine doré,The Palm Beach Story,Preston Sturges,1942,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4849,['2025-03-26 17:30'],https://letterboxd.com/film/the-palm-beach-story/,3.8,23000.0
Cineteca Madrid,El arca rusa,Aleksandr Sokurov,2002,https://www.cinetecamadrid.com/programacion/el-arca-rusa,['2025-03-02 20:30'],https://letterboxd.com/film/russian-ark/,3.8,51000.0
Cineteca Madrid,El caftán azul,Maryam Touzani,2022,https://www.cinetecamadrid.com/programacion/el-caftan-azul,['2025-03-13 20:30'],https://letterboxd.com/film/the-blue-caftan/,3.8,20000.0
Cine doré,The Miracle of Morgan's Creek,Preston Sturges,1944,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4839,['2025-03-21 17:30'],https://letterboxd.com/film/the-miracle-of-morgans-creek/,3.8,10000.0
Cine doré,Christmas in July,Preston Sturges,1940,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4801,"['2025-03-02 17:30', '2025-03-12 21:00']",https://letterboxd.com/film/christmas-in-july/,3.7,10000.0
Cine doré,Gunman’s Walk,Phil Karlson,1958,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4832,"['2025-03-15 21:00', '2025-03-30 17:30']",https://letterboxd.com/film/gunmans-walk/,3.7,2000.0
Cine doré,Dahomey,Mati Diop,2024,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4838,['2025-03-19 21:00'],https://letterboxd.com/film/dahomey/,3.7,36000.0
Cineteca Madrid,Selfie,Agostino Ferrente,2019,https://www.cinetecamadrid.com/programacion/selfie-2,['2025-03-15 18:00'],https://letterboxd.com/film/selfie-2019/,3.7,3700.0
Cine doré,Solas,Benito Zambrano,1999,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4809,['2025-03-06 20:00'],https://letterboxd.com/film/alone-1999/,3.7,2200.0
Cineteca Madrid,Le kiosque,Alexandra Pianelli,2020,https://www.cinetecamadrid.com/programacion/le-kiosque,[],https://letterboxd.com/film/the-kiosk-2020/,3.7,811.0
Cine doré,Orgullo,Manuel Mur Oti,1955,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4812,['2025-03-07 20:00'],https://letterboxd.com/film/pride-1955/,3.7,412.0
Cineteca Madrid,Vermiglio,Maura Delpero,2024,https://www.cinetecamadrid.com/programacion/vermiglio,"['2025-03-28 18:00', '2025-03-30 19:30', '2025-03-01 19:00']",https://letterboxd.com/film/vermiglio/,3.6,20000.0
Cine doré,Terra Femme,Courtney Stephens,2021,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4806,"['2025-03-05 19:30', '2025-03-29 19:30']",https://letterboxd.com/film/terra-femme/,3.6,683.0
Cine doré,Sangam,Raj Kapoor,1964,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4818,['2025-03-09 18:30'],https://letterboxd.com/film/sangam/,3.6,1100.0
Cine doré,Picnic,Joshua Logan,1956,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4827,"['2025-03-13 21:00', '2025-03-29 21:00']",https://letterboxd.com/film/sunday-in-peking/,3.6,4900.0
Cine doré,Numéro deux,Jean-Luc Godard,1975,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4810,"['2025-03-07 17:30', '2025-03-19 17:30']",https://letterboxd.com/film/number-two-1975/,3.6,3500.0
Cineteca Madrid,El profesor Marston y Wonder Woman,Angela Robinson,2017,https://www.cinetecamadrid.com/programacion/el-profesor-marston-y-wonder-woman,['2025-03-28 20:30'],https://letterboxd.com/film/professor-marston-and-the-wonder-women/,3.6,47000.0
Cineteca Madrid,El vuelo del globo rojo,Hou Hsiao-Hsien,2007,https://www.cinetecamadrid.com/programacion/el-vuelo-del-globo-rojo,['2025-03-26 20:00'],https://letterboxd.com/film/flight-of-the-red-balloon/,3.6,5300.0
Cine doré,Furtivos,José Luis Borau,1975,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4841,"['2025-03-21 20:30', '2025-03-27 17:30']",https://letterboxd.com/film/poachers/,3.6,1400.0
Cine doré,Mi querida señorita,Jaime de Armiñán,1972,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4817,"['2025-03-09 17:30', '2025-03-20 17:30']",https://letterboxd.com/film/my-dearest-senorita/,3.6,1300.0
Cine doré,Craig’s Wife,Dorothy Arzner,1936,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4845,['2025-03-23 19:00'],https://letterboxd.com/film/craigs-wife/,3.5,1800.0
Cine doré,Nome,Sana Na N'Hada,2023,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4854,['2025-03-30 19:00'],https://letterboxd.com/film/nome/,3.5,429.0
