theater,title,theater_film_link,dates,director,year,letterboxd_url,letterboxd_rating,letterboxd_viewers
Cineteca Madrid,Eva al desnudo,https://www.cinetecamadrid.com/programacion/eva-al-desnudo-0,"[{'timestamp': '2026-02-03 20:00', 'location': 'Cineteca Madrid'}]",Joseph L. Mankiewicz,1950,https://letterboxd.com/film/all-about-eve/,4.4,
Cineteca Madrid,Stalker,https://www.cinetecamadrid.com/programacion/stalker-0,"[{'timestamp': '2026-02-19 20:00', 'location': 'Cineteca Madrid'}]",Andréi Tarkovski,1979,https://letterboxd.com/film/stalker/,4.4,
Cineteca Madrid,Conferencia de José Luis Pardo + Tiempos modernos,https://www.cinetecamadrid.com/programacion/conferencia-de-jose-luis-pardo-tiempos-modernos,"[{'timestamp': '2026-02-14 19:00', 'location': 'Cineteca Madrid'}]",Charles Chaplin,1936,https://letterboxd.com/film/modern-times/,4.3,
Cineteca Madrid,Los espigadores y la espigadora,https://www.cinetecamadrid.com/programacion/los-espigadores-y-la-espigadora-0,"[{'timestamp': '2026-02-17 20:00', 'location': 'Cineteca Madrid'}]",Agnès Varda,2000,https://letterboxd.com/film/the-gleaners-and-i/,4.3,
Cineteca Madrid,Conferencia de Marta Sanz + All That Jazz (Empieza el espectáculo),https://www.cinetecamadrid.com/programacion/conferencia-de-marta-sanz-all-jazz-empieza-el-espectaculo,"[{'timestamp': '2026-02-06 19:00', 'location': 'Cineteca Madrid'}]",Bob Fosse,1979,https://letterboxd.com/film/all-that-jazz/,4.3,
Cine Doré,Los espigadores y la espigadora,https://entradasfilmoteca.sacatuentrada.es/es/productos/descripcion/los-espigadores-y-la-espigadora,"[{'timestamp': '2026-02-22 19:00', 'location': 'Cine Doré'}]",Agnès Varda,2000,https://letterboxd.com/film/the-gleaners-and-i/,4.3,
Cine Doré,Carga maldita,https://entradasfilmoteca.sacatuentrada.es/es/productos/descripcion/carga-maldita,"[{'timestamp': '2026-02-06 19:00', 'location': 'Cine Doré'}]",William Friedkin,1977,https://letterboxd.com/film/sorcerer/,4.3,
Cine Doré,Un asunto de familia,https://entradasfilmoteca.sacatuentrada.es/es/productos/descripcion/un-asunto-de-familia-8,"[{'timestamp': '2026-02-11 19:00', 'location': 'Cine Doré'}]",Hirokazu Koreeda,2018,https://letterboxd.com/film/shoplifters/,4.3,
Cine Doré,¡Olvídate de mí!,https://entradasfilmoteca.sacatuentrada.es/es/productos/descripcion/olvidate-de-mi,"[{'timestamp': '2026-02-14 19:00', 'location': 'Cine Doré'}]",Michel Gondry,2004,https://letterboxd.com/film/eternal-sunshine-of-the-spotless-mind/,4.2,
Cine Doré,Las uvas de la ira,https://entradasfilmoteca.sacatuentrada.es/es/productos/descripcion/las-uvas-de-la-ira,"[{'timestamp': '2026-02-15 19:00', 'location': 'Cine Doré'}]",John Ford,1940,https://letterboxd.com/film/the-grapes-of-wrath/,4.2,
Cineteca Madrid,Cría cuervos,https://www.cinetecamadrid.com/programacion/cria-cuervos,"[{'timestamp': '2026-02-04 20:00', 'location': 'Cineteca Madrid'}]",Carlos Saura,1975,https://letterboxd.com/film/cria/,4.2,
Cines Renoir,Marty Supreme,https://www.cinesrenoir.com/pelicula/marty-supreme/,"[{'location': 'Retiro', 'timestamp': '2026-02-06 16:00'}, {'location': 'Princesa', 'timestamp': '2026-02-06 16:10'}, {'location': 'Princesa', 'timestamp': '2026-02-06 18:00'}, {'location': 'Retiro', 'timestamp': '2026-02-06 19:00'}, {'location': 'Princesa', 'timestamp': '2026-02-06 19:00'}, {'location': 'Retiro', 'timestamp': '2026-02-06 20:30'}, {'location': 'Princesa', 'timestamp': '2026-02-06 20:45'}, {'location': 'Retiro', 'timestamp': '2026-02-06 21:45'}, {'location': 'Princesa', 'timestamp': '2026-02-06 21:50'}, {'location': 'Retiro', 'timestamp': '2026-02-07 16:00'}, {'location': 'Princesa', 'timestamp': '2026-02-07 16:10'}, {'location': 'Princesa', 'timestamp': '2026-02-07 18:00'}, {'location': 'Retiro', 'timestamp': '2026-02-07 19:00'}, {'location': 'Princesa', 'timestamp': '2026-02-07 19:00'}, {'location': 'Retiro', 'timestamp': '2026-02-07 20:30'}, {'location': 'Princesa', 'timestamp': '2026-02-07 20:45'}, {'location': 'Retiro', 'timestamp': '2026-02-07 21:45'}, {'location': 'Princesa', 'timestamp': '2026-02-07 21:50'}, {'location': 'Retiro', 'timestamp': '2026-02-08 16:00'}, {'location': 'Princesa', 'timestamp': '2026-02-08 16:10'}, {'location': 'Princesa', 'timestamp': '2026-02-08 18:00'}, {'location': 'Retiro', 'timestamp': '2026-02-08 19:00'}, {'location': 'Princesa', 'timestamp': '2026-02-08 19:00'}, {'location': 'Retiro', 'timestamp': '2026-02-08 20:30'}, {'location': 'Princesa', 'timestamp': '2026-02-08 20:45'}, {'location': 'Retiro', 'timestamp': '2026-02-08 21:45'}, {'location': 'Princesa', 'timestamp': '2026-02-08 21:50'}, {'location': 'Retiro', 'timestamp': '2026-02-09 16:00'}, {'location': 'Princesa', 'timestamp': '2026-02-09 16:10'}, {'location': 'Princesa', 'timestamp': '2026-02-09 18:00'}, {'location': 'Retiro', 'timestamp': '2026-02-09 19:00'}, {'location': 'Princesa', 'timestamp': '2026-02-09 19:00'}, {'location': 'Retiro', 'timestamp': '2026-02-09 20:30'}, {'location': 'Princesa', 'timestamp': '2026-02-09 20:45'}, {'location': 'Retiro', 'timestamp': '2026-02-09 21:45'}, {'location': 'Princesa', 'timestamp': '2026-02-09 21:50'}, {'location': 'Retiro', 'timestamp': '2026-02-10 16:00'}, {'location': 'Princesa', 'timestamp': '2026-02-10 16:10'}, {'location': 'Princesa', 'timestamp': '2026-02-10 18:00'}, {'location': 'Retiro', 'timestamp': '2026-02-10 19:00'}, {'location': 'Princesa', 'timestamp': '2026-02-10 19:00'}, {'location': 'Retiro', 'timestamp': '2026-02-10 20:30'}, {'location': 'Princesa', 'timestamp': '2026-02-10 20:45'}, {'location': 'Retiro', 'timestamp': '2026-02-10 21:45'}, {'location': 'Princesa', 'timestamp': '2026-02-10 21:50'}, {'location': 'Retiro', 'timestamp': '2026-02-11 16:00'}, {'location': 'Princesa', 'timestamp': '2026-02-11 16:10'}, {'location': 'Princesa', 'timestamp': '2026-02-11 18:00'}, {'location': 'Retiro', 'timestamp': '2026-02-11 19:00'}, {'location': 'Princesa', 'timestamp': '2026-02-11 19:00'}, {'location': 'Retiro', 'timestamp': '2026-02-11 20:30'}, {'location': 'Princesa', 'timestamp': '2026-02-11 20:45'}, {'location': 'Retiro', 'timestamp': '2026-02-11 21:45'}, {'location': 'Princesa', 'timestamp': '2026-02-11 21:50'}]",Josh Safdie,2025,https://letterboxd.com/film/marty-supreme/,4.2,
