title,dates,director,year,letterboxd_url,letterboxd_rating,letterboxd_viewers
Eva al desnudo,"[{'timestamp': '2026-02-03 20:00', 'location': 'Cineteca Madrid', 'url_tickets': '', 'url_info': 'https://www.cinetecamadrid.com/programacion/eva-al-desnudo-0'}]",Joseph L. Mankiewicz,1950,https://letterboxd.com/film/all-about-eve/,4.4,
Stalker,"[{'timestamp': '2026-02-19 20:00', 'location': 'Cineteca Madrid', 'url_tickets': '', 'url_info': 'https://www.cinetecamadrid.com/programacion/stalker-0'}]",Andréi Tarkovski,1979,https://letterboxd.com/film/stalker/,4.4,
Conferencia de José Luis Pardo + Tiempos modernos,"[{'timestamp': '2026-02-14 19:00', 'location': 'Cineteca Madrid', 'url_tickets': '', 'url_info': 'https://www.cinetecamadrid.com/programacion/conferencia-de-jose-luis-pardo-tiempos-modernos'}]",Charles Chaplin,1936,https://letterboxd.com/film/modern-times/,4.3,
Los espigadores y la espigadora,"[{'timestamp': '2026-02-17 20:00', 'location': 'Cineteca Madrid', 'url_tickets': '', 'url_info': 'https://www.cinetecamadrid.com/programacion/los-espigadores-y-la-espigadora-0'}, {'timestamp': '2026-02-22 19:00', 'location': 'Cine Doré', 'url_tickets': '', 'url_info': 'https://entradasfilmoteca.sacatuentrada.es/es/productos/descripcion/los-espigadores-y-la-espigadora'}]",Agnès Varda,2000,https://letterboxd.com/film/the-gleaners-and-i/,4.3,
Conferencia de Marta Sanz + All That Jazz (Empieza el espectáculo),"[{'timestamp': '2026-02-06 19:00', 'location': 'Cineteca Madrid', 'url_tickets': '', 'url_info': 'https://www.cinetecamadrid.com/programacion/conferencia-de-marta-sanz-all-jazz-empieza-el-espectaculo'}]",Bob Fosse,1979,https://letterboxd.com/film/all-that-jazz/,4.3,
Carga maldita,"[{'timestamp': '2026-02-06 19:00', 'location': 'Cine Doré', 'url_tickets': '', 'url_info': 'https://entradasfilmoteca.sacatuentrada.es/es/productos/descripcion/carga-maldita'}]",William Friedkin,1977,https://letterboxd.com/film/sorcerer/,4.3,
Un asunto de familia,"[{'timestamp': '2026-02-11 19:00', 'location': 'Cine Doré', 'url_tickets': '', 'url_info': 'https://entradasfilmoteca.sacatuentrada.es/es/productos/descripcion/un-asunto-de-familia-8'}]",Hirokazu Koreeda,2018,https://letterboxd.com/film/shoplifters/,4.3,
Terminator 2: El Juicio Final,"[{'timestamp': '2026-02-12 20:00', 'location': 'Princesa', 'url_tickets': 'https://www.pillalas.com/pase/1053319/', 'url_info': 'https://www.cinesrenoir.com/pelicula/terminator-2-el-juicio-final-wilder-cinema/'}]",James Cameron,1991,https://letterboxd.com/film/terminator-2-judgment-day/,4.3,
Las uvas de la ira,"[{'timestamp': '2026-02-15 19:00', 'location': 'Cine Doré', 'url_tickets': '', 'url_info': 'https://entradasfilmoteca.sacatuentrada.es/es/productos/descripcion/las-uvas-de-la-ira'}]",John Ford,1940,https://letterboxd.com/film/the-grapes-of-wrath/,4.2,
Cría cuervos,"[{'timestamp': '2026-02-04 20:00', 'location': 'Cineteca Madrid', 'url_tickets': '', 'url_info': 'https://www.cinetecamadrid.com/programacion/cria-cuervos'}]",Carlos Saura,1975,https://letterboxd.com/film/cria/,4.2,
