theater,title,director,year,theater_film_link,dates,letterboxd_url,letterboxd_rating,letterboxd_viewers
Cine doré,Dog Day Afternoon,Sidney Lumet,1975,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4644,['2024-12-12 17:30'],https://letterboxd.com/film/dog-day-afternoon/,4.3,435000.0
Cine doré,Cool Hand Luke,Stuart Rosenberg,1967,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4655,['2024-12-15 21:00'],https://letterboxd.com/film/cool-hand-luke/,4.1,141000.0
Cine doré,The Muppet Christmas Carol,Brian Henson,1992,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4633,['2024-12-07 17:30'],https://letterboxd.com/film/the-muppet-christmas-carol/,4.0,327000.0
Cine doré,The Lighthouse,Robert Eggers,2019,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4646,['2024-12-12 21:00'],https://letterboxd.com/film/the-lighthouse-2019/,4.0,1400000.0
Cine doré,Le notti bianche,Luchino Visconti,1957,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4681,['2024-12-29 21:00'],https://letterboxd.com/film/le-notti-bianche/,4.0,19000.0
Cine doré,Nosferatu: Phantom der Nacht,Werner Herzog,1979,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4641,['2024-12-11 17:30'],https://letterboxd.com/film/nosferatu-the-vampyre/,3.9,129000.0
Cine doré,Todo Modo,Elio Petri,1976,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4645,['2024-12-12 19:30'],https://letterboxd.com/film/one-way-or-another/,3.9,4500.0
Cine doré,The Outlaw Josey Wales,Clint Eastwood,1976,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4679,['2024-12-28 20:30'],https://letterboxd.com/film/the-outlaw-josey-wales/,3.9,69000.0
Cine doré,Nosferatu,Robert Eggers,2024,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4660,['2024-12-18 20:00'],https://letterboxd.com/film/nosferatu-2024/,3.9,6700.0
Cine doré,The Northman,Robert Eggers,2022,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4657,['2024-12-17 20:30'],https://letterboxd.com/film/the-northman/,3.8,815000.0
Cine doré,Plácido,Luis García Berlanga,1961,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4665,['2024-12-20 20:30'],https://letterboxd.com/film/placido/,3.8,7300.0
Cine doré,Klute,Alan J. Pakula,1971,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4676,['2024-12-27 21:00'],https://letterboxd.com/film/klute/,3.8,76000.0
Cine doré,Little Big Man,Arthur Penn,1970,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4671,['2024-12-22 20:30'],https://letterboxd.com/film/little-big-man/,3.7,26000.0
Cine doré,Tardes de soledad,Albert Serra,2024,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4652,['2024-12-14 20:00'],https://letterboxd.com/film/afternoons-of-solitude/,3.7,1600.0
Cine doré,You Are On Indian Land,"Michael Kanentakeron Mitchell, Mort Ransen",1969,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4667,['2024-12-21 19:30'],https://letterboxd.com/film/you-are-on-indian-land/,3.7,856.0
Cine doré,Il belli Antonio,Mauro Bolognini,1960,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4635,"['2024-12-07 21:00', '2024-12-20 17:30']",https://letterboxd.com/film/handsome-antonio/,3.7,3000.0
